Title,Price_EUR_per_month,Neighbourhood,Person,Number_of_rooms,Square_meters,Exterior_interior,Floor,Lift,Garage
Alquiler de Piso en Passatge d'Aloi,1400.0,"Navas, Barcelona",Profesional,3.0,66.0,exterior,3.0,0.0,
Alquiler de Piso en paseo de Maragall,1300.0,"El Congrés i els Indians, Barcelona",Profesional,1.0,70.0,exterior,2.0,,
Alquiler de Piso en calle de Sant Ildefons,1450.0,"Sant Andreu, Barcelona",Profesional,2.0,73.0,exterior,1.0,1.0,
"Alquiler de Piso en avenida Meridiana, 276",1350.0,"La Sagrera, Barcelona",Profesional,1.0,63.0,exterior,5.0,1.0,
"Alquiler de Ático en calle del Clot, 195",2290.0,"Navas, Barcelona",Profesional,3.0,86.0,exterior,7.0,1.0,
"Alquiler de Piso en calle de Biscaia, 315",1795.0,"Navas, Barcelona",Profesional,2.0,81.0,exterior,1.0,1.0,
"Alquiler de Piso en calle de Biscaia, 315",1795.0,"Navas, Barcelona",Profesional,2.0,81.0,exterior,3.0,1.0,
"Alquiler de Piso en calle Felip 2, 11",1800.0,"La Sagrera, Barcelona",Profesional,3.0,120.0,exterior,2.0,1.0,
"Alquiler de Piso en calle de Coll, 59",2300.0,"La Sagrera, Barcelona",Profesional,3.0,102.0,exterior,1.0,1.0,Garage included
"Alquiler de Dúplex en calle de Biscaia, 315",2195.0,"Navas, Barcelona",Profesional,3.0,131.0,interior,Bajo,0.0,
Alquiler de Piso en calle de Pinar del Rio,1395.0,"El Congrés i els Indians, Barcelona",Profesional,3.0,75.0,exterior,1.0,0.0,
"Alquiler de Ático en calle de Sòcrates, 64",1990.0,"Sant Andreu, Barcelona",Profesional,3.0,111.0,exterior,6.0,1.0,
Alquiler de Piso en calle de Pardo,1600.0,"El Congrés i els Indians, Barcelona",Profesional,3.0,59.0,exterior,6.0,1.0,
Alquiler de Piso en rambla de Fabra i Puig,1450.0,"Sant Andreu, Barcelona",Profesional,2.0,78.0,exterior,1.0,1.0,
Alquiler de Piso en Sant Andreu,1550.0,"Sant Andreu, Barcelona",Profesional,3.0,117.0,exterior,Bajo,1.0,
Alquiler de Piso en calle de Puerto Príncipe,2200.0,"El Congrés i els Indians, Barcelona",Profesional,2.0,80.0,exterior,3.0,1.0,Garage optional
Alquiler de Piso en calle de Puerto Príncipe,1500.0,"El Congrés i els Indians, Barcelona",Profesional,1.0,45.0,exterior,2.0,1.0,Garage optional
Alquiler de Piso en calle de Puerto Príncipe,1900.0,"El Congrés i els Indians, Barcelona",Profesional,1.0,60.0,exterior,1.0,1.0,
Alquiler de Ático en calle de Mallorca,1750.0,"Navas, Barcelona",Profesional,3.0,90.0,exterior,5.0,1.0,
Alquiler de Piso en paseo Maragall,2100.0,"El Congrés i els Indians, Barcelona",Profesional,4.0,100.0,exterior,5.0,1.0,
Alquiler de Ático en calle de Biscaia,2000.0,"Navas, Barcelona",Profesional,2.0,85.0,exterior,9.0,1.0,
Alquiler de Piso en El Congrés i els Indians,1700.0,"Sant Andreu, Barcelona",Profesional,2.0,63.0,interior,1.0,0.0,
Alquiler de Piso en paseo Maragall,2100.0,"El Congrés i els Indians, Barcelona",Profesional,4.0,105.0,exterior,3.0,1.0,
Alquiler de Piso en calle del Clot,2300.0,"Navas, Barcelona",Profesional,1.0,50.0,interior,4.0,1.0,
"Alquiler de Estudio en calle de las Navas de Tolosa, 350",1200.0,"Navas, Barcelona",Particular,,75.0,exterior,1.0,1.0,
"Alquiler de Piso en calle de Concepción Arenal, 128",2500.0,"La Sagrera, Barcelona",Profesional,4.0,95.0,exterior,6.0,1.0,
Alquiler de Piso en calle de Puerto Príncipe,1900.0,"El Congrés i els Indians, Barcelona",Profesional,1.0,50.0,exterior,5.0,1.0,Garage optional
"Alquiler de Estudio en calle Doctor Santponç, 125",1175.0,"Sant Andreu, Barcelona",Particular,,65.0,interior,Entreplanta,1.0,
Alquiler de Piso en paseo Maragall,2100.0,"El Congrés i els Indians, Barcelona",Profesional,4.0,105.0,exterior,3.0,1.0,
